date,freight_rate,open,high,low,vol,change,freight_rate_outlier
2016-07-27,679.0,679.00,679.00,679.00,,-2.44%,False
2016-07-28,665.0,665.00,665.00,665.00,,-2.06%,False
2016-07-29,656.0,656.00,656.00,656.00,,-1.35%,False
2016-08-01,650.0,650.00,650.00,650.00,,-0.91%,False
2016-08-02,645.0,645.00,645.00,645.00,,-0.77%,False
2016-08-03,641.0,641.00,641.00,641.00,,-0.62%,False
2016-08-04,636.0,636.00,636.00,636.00,,-0.78%,False
2016-08-05,636.0,636.00,636.00,636.00,,0.00%,False
2016-08-08,636.0,636.00,636.00,636.00,,0.00%,False
2016-08-09,631.0,631.00,631.00,631.00,,-0.79%,False
2016-08-10,638.0,638.00,638.00,638.00,,1.11%,False
2016-08-11,653.0,653.00,653.00,653.00,,2.35%,False
2016-08-12,671.0,671.00,671.00,671.00,,2.76%,False
2016-08-15,681.0,681.00,681.00,681.00,,1.49%,False
2016-08-16,687.0,687.00,687.00,687.00,,0.88%,False
2016-08-17,685.0,685.00,685.00,685.00,,-0.29%,False
2016-08-18,682.0,682.00,682.00,682.00,,-0.44%,False
2016-08-19,683.0,683.00,683.00,683.00,,0.15%,False
2016-08-22,687.0,687.00,687.00,687.00,,0.59%,False
2016-08-23,692.0,692.00,692.00,692.00,,0.73%,False
2016-08-24,706.0,706.00,706.00,706.00,,2.02%,False
2016-08-25,718.0,718.00,718.00,718.00,,1.70%,False
2016-08-26,720.0,720.00,720.00,720.00,,0.28%,False
2016-08-30,715.0,715.00,715.00,715.00,,-0.69%,False
2016-08-31,711.0,711.00,711.00,711.00,,-0.56%,False
2016-09-01,712.0,712.00,712.00,712.00,,0.14%,False
2016-09-02,720.0,720.00,720.00,720.00,,1.12%,False
2016-09-05,724.0,724.00,724.00,724.00,,0.56%,False
2016-09-06,745.0,745.00,745.00,745.00,,2.90%,False
2016-09-07,773.0,773.00,773.00,773.00,,3.76%,False
2016-09-08,792.0,792.00,792.00,792.00,,2.46%,False
2016-09-09,804.0,804.00,804.00,804.00,,1.52%,False
2016-09-12,804.0,804.00,804.00,804.00,,0.00%,False
2016-09-13,796.0,796.00,796.00,796.00,,-1.00%,False
2016-09-14,756.0,756.00,756.00,756.00,,-5.03%,False
2016-09-15,764.0,764.00,764.00,764.00,,1.06%,False
2016-09-16,800.0,800.00,800.00,800.00,,4.71%,False
2016-09-19,836.0,836.00,836.00,836.00,,4.50%,False
2016-09-20,865.0,865.00,865.00,865.00,,3.47%,False
